rs10004195	Lesion of stomach
rs1800797	Obesity, Abdominal
rs1800870	Ichthyosis Bullosa of Siemens
rs1800871	Aortic Valve Stenosis
rs1800871	Behcet Syndrome
rs1800871	Breast Carcinoma
rs1800871	Carcinoma of lung
rs1800871	Classical Hodgkin's Lymphoma
rs1800871	Colorectal Cancer
rs1800871	Colorectal Carcinoma
rs1800871	Diabetic Nephropathy
rs1800871	Epstein-Barr Virus Infections
rs1800871	Glioblastoma
rs1800871	Hepatitis B
rs1800871	Leprosy
rs1800871	Lymphoma
rs1800871	Malignant neoplasm of breast
rs1800871	Malignant neoplasm of lung
rs1800871	Malignant neoplasm of oropharynx
rs1800871	Oropharyngeal Carcinoma
rs1800871	Oropharyngeal disorders
rs1800872	Breast Carcinoma
rs1800872	Calcific stenosis
rs1800872	Classical Hodgkin's Lymphoma
rs1800872	Colorectal Cancer
rs1800872	Colorectal Carcinoma
rs1800872	Coronary Aneurysm
rs1800872	Cutaneous Melanoma
rs1800872	Drug usage
rs1800872	Esophageal carcinoma
rs1800872	Esophageal Neoplasms
rs1800872	Hepatitis B
rs1800872	Hepatitis C
rs1800872	Ichthyosis Bullosa of Siemens
rs1800872	Leprosy
rs1800872	Lymphoma
rs1800872	Malignant neoplasm of breast
rs1800872	Malignant neoplasm of esophagus
rs1800872	Mucocutaneous Lymph Node Syndrome
rs1800872	Secondary malignant neoplasm of lymph node
rs1800872	Squamous cell carcinoma of esophagus
rs1800875	Dermatitis, Atopic
rs1800875	Eczema
rs1800888	Asthma
rs1800888	Cardiomyopathy, Dilated
rs1800888	Childhood asthma
rs1800888	Chronic heart failure
rs1800888	Chronic Obstructive Airway Disease
rs1800888	Congestive heart failure
rs1800888	Diabetes
rs1800888	Diabetes Mellitus
rs1800888	Hypertensive disease
rs1800888	Primary congenital glaucoma
rs180088	Metabolic Syndrome X
rs1800890	Chronic Lymphocytic Leukemia
rs1800890	Classical Hodgkin's Lymphoma
rs1800890	Cutaneous Melanoma
rs1800890	Diffuse Large B-Cell Lymphoma
rs1800890	Hodgkin Disease
rs1800890	Lymphoma
rs1800890	Lymphoma, Non-Hodgkin
rs1800890	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
rs1800890	Measles
rs1800890	Waldenstrom Macroglobulinemia
rs1800896	Asthma
rs1800896	B-Cell Lymphomas
rs1800896	Breast Carcinoma
rs1800896	Bronchiolitis
rs1800896	Calcific stenosis
rs1800896	Cervical Intraepithelial Neoplasia
rs1800896	Classical Hodgkin's Lymphoma
rs1800896	Colorectal Cancer
rs1800896	Colorectal Carcinoma
rs1800896	Coronary Artery Disease
rs1800896	Cutaneous Melanoma
rs1800896	Dermatitis, Atopic
rs1800896	Diffuse Large B-Cell Lymphoma
rs1800896	Eczema
rs1800896	Gastric Adenocarcinoma
rs1800896	Gestational Diabetes
rs1800896	Glioma
rs1800896	Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site
rs1800896	Hepatitis C
rs1800896	Lower respiratory tract infection
rs1800896	Lymphadenitis
rs1800896	Lymphoma
rs1800896	Malignant neoplasm of breast
rs1800896	Malignant neoplasm of ovary
rs1800896	Malignant neoplasm of prostate
rs1800896	Mycobacterium Infections
rs1800896	Ovarian Carcinoma
rs1800896	Periodontitis
rs1800896	Rheumatoid Arthritis
rs1800896	Sepsis
rs1800896	Septicemia
rs1800896	Stomach Carcinoma
rs1800896	T-Cell Lymphoma
rs1800925	Allergic rhinitis (disorder)
rs1800925	Asthma
rs1800925	Esophageal carcinoma
rs1800925	Esophageal Neoplasms
rs1800925	Glioma
rs1800925	Hay fever
rs1800925	Helicobacter pylori infection
rs1800925	Hepatitis B
rs1800925	Idiopathic Pulmonary Fibrosis
rs1800925	Malaria
rs1800925	Malignant neoplasm of esophagus
rs1800925	Psoriasis
rs1800925	Schistosoma hematobium infection
rs1800932	Malignant neoplasm of prostate
rs1800932	Prostate carcinoma
rs1800947	Cerebral Small Vessel Diseases
rs1800947	Colorectal Cancer
rs1800947	Colorectal Carcinoma
rs1800947	Ischemic stroke
rs1800955	Anxiety Disorders
rs1800955	Attention deficit hyperactivity disorder
rs1800955	Heroin Dependence
rs1800955	Lingual-Facial-Buccal Dyskinesia
rs1800955	Opiate Addiction
rs1800955	Psychotic Disorders
rs1800955	Schizophrenia
rs1800955	Substance Dependence
rs1800955	Tardive Dyskinesia
rs1800972	Candidiasis
rs1800972	Leprosy
rs1800972	Tuberculosis, extrapulmonary
rs1800975	Breast Carcinoma
rs1800975	Carcinoma of lung
rs1800975	Lymphoma
rs1800975	Malignant neoplasm of breast
rs1800975	Malignant neoplasm of lung
rs1800975	Non-Small Cell Lung Carcinoma
rs1800975	Squamous cell carcinoma
rs1801028	Alcoholic Intoxication, Chronic
rs1801028	Attention deficit hyperactivity disorder
rs1801028	Bipolar Disorder
rs1801028	Delusional disorder
rs1801028	Delusions
rs1801028	Diabetes
rs1801028	Diabetes Mellitus
rs1801028	Diabetes Mellitus, Non-Insulin-Dependent
rs1801028	Drug habituation
rs1801028	Lingual-Facial-Buccal Dyskinesia
rs1801028	Mental disorders
rs1801028	Mood Disorders
rs1801028	Neurobehavioral Manifestations
rs1801028	Neuroleptic Malignant Syndrome
rs1801028	Nonorganic psychosis
rs1801028	Obesity
rs1801028	Psychotic Disorders
rs1801028	Schizophrenia
rs1801028	Substance abuse problem
rs1801028	Tardive Dyskinesia
rs1801131	Acute lymphocytic leukemia
rs1801131	Alzheimer's Disease
rs1801131	Attention deficit hyperactivity disorder
rs1801131	Bipolar Disorder
rs1801131	Bladder Neoplasm
rs1801131	Breast Carcinoma
rs1801131	Carcinoma of lung
rs1801131	Colorectal Cancer
rs1801131	Colorectal Carcinoma
rs1801131	Congenital omphalocele
rs1801131	Diabetes Mellitus, Non-Insulin-Dependent
rs1801131	Diffuse Large B-Cell Lymphoma
rs1801131	Down Syndrome
rs1801131	Endothelial dysfunction
rs1801131	Esophageal carcinoma
rs1801131	Esophageal Neoplasms
rs1801131	Factor V Leiden mutation
rs1801131	Huntington Disease
rs1801131	Hypertensive disease
rs1801131	Kidney Diseases
rs1801131	Liver and Intrahepatic Biliary Tract Carcinoma
rs1801131	Malignant neoplasm of breast
rs1801131	Malignant neoplasm of esophagus
rs1801131	Malignant neoplasm of liver
rs1801131	Malignant neoplasm of lung
rs1801131	Malignant neoplasm of stomach
rs1801131	Mental disorders
rs1801131	Multiple Sclerosis
rs1801131	Neoplasm, Residual
rs1801131	Overweight
rs1801131	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs1801131	Primary central nervous system lymphoma
rs1801131	Rheumatoid Arthritis
rs1801131	Stomach Carcinoma
rs1801132	Breast Carcinoma
rs1801132	Dementia
rs1801132	HIV Infections
rs1801132	Malignant neoplasm of breast
rs1801132	Metabolic Syndrome X
rs1801132	Mild dementia
rs1801132	Presenile dementia
rs1801132	Sporadic Breast Carcinoma
rs1801132	Tension Headache
rs1801133	5,10-Methylenetetrahydrofolate reductase deficiency
rs1801133	Age related macular degeneration
rs1801133	Alzheimer's Disease
rs1801133	Aortic Aneurysm
rs1801133	Attention deficit hyperactivity disorder
rs1801133	Bipolar Disorder
rs1801133	Blood Coagulation Disorders
rs1801133	Breast Carcinoma
rs1801133	Carcinoma of bladder
rs1801133	Carcinoma of lung
rs1801133	Cardiovascular Diseases
rs1801133	Celiac Disease
rs1801133	Central neuroblastoma
rs1801133	Cervix carcinoma
rs1801133	Cleft Lip with or without Cleft Palate
rs1801133	Cluster Headache
rs1801133	Colorectal Cancer
rs1801133	Colorectal Carcinoma
rs1801133	Coronary Arteriosclerosis
rs1801133	Coronary Artery Disease
rs1801133	Coronary heart disease
rs1801133	Diabetes Mellitus, Non-Insulin-Dependent
rs1801133	Diffuse Large B-Cell Lymphoma
rs1801133	Drug habituation
rs1801133	Endometriosis
rs1801133	Factor V Leiden mutation
rs1801133	Heart Diseases
rs1801133	Homocysteinemia
rs1801133	Hyperhomocysteinemia
rs1801133	Hypertensive disease
rs1801133	Impaired cognition
rs1801133	Intestinal Perforation
rs1801133	Ischemic Cerebrovascular Accident
rs1801133	Ischemic stroke
rs1801133	Lead Poisoning
rs1801133	Liver and Intrahepatic Biliary Tract Carcinoma
rs1801133	Liver carcinoma
rs1801133	Macular degeneration
rs1801133	Major Depressive Disorder
rs1801133	Malignant neoplasm of breast
rs1801133	Malignant neoplasm of liver
rs1801133	Malignant neoplasm of lung
rs1801133	Malignant neoplasm of ovary
rs1801133	Malignant neoplasm of stomach
rs1801133	Malignant neoplasm of urinary bladder
rs1801133	Malignant tumor of cervix
rs1801133	Mental disorders
rs1801133	Migraine Disorders
rs1801133	Myocardial Infarction
rs1801133	Nephroblastoma
rs1801133	Neuroblastoma
rs1801133	Obesity
rs1801133	Osteoporosis
rs1801133	Ovarian Carcinoma
rs1801133	Parkinson Disease
rs1801133	Psoriasis
rs1801133	Recurrent tumor
rs1801133	Schizophrenia
rs1801133	Spina Bifida
rs1801133	Stomach Carcinoma
rs1801133	Thrombosis
rs1801133	Unipolar Depression
rs1801133	vascular disease occlusive
rs1801157	Breast Carcinoma
rs1801157	Carcinogenesis
rs1801157	Leukemia, Lymphocytic, Acute, L1
rs1801157	Malignant neoplasm of breast
rs1801157	Multiple Sclerosis
rs1801157	Neoplasm Metastasis
rs1801173	Esophageal carcinoma
rs1801173	Esophageal Neoplasms
rs1801173	Malignant neoplasm of esophagus
rs1801173	Non-Small Cell Lung Carcinoma
rs1801173	Squamous cell carcinoma of esophagus
rs1801181	Lymphoma, Large-Cell, Follicular
rs1801181	Lymphoma, Non-Hodgkin
rs1801195	Breast Carcinoma
rs1801195	Diffuse Large B-Cell Lymphoma
rs1801195	Lymphoma, Large-Cell, Follicular
rs1801195	Lymphoma, Non-Hodgkin
rs1801195	Malignant neoplasm of breast
rs1801195	T-Cell Lymphoma
rs1801200	Breast Carcinoma
rs1801200	Helicobacter pylori infection
rs1801200	Malignant neoplasm of breast
rs1801200	Malignant neoplasm of stomach
rs1801200	Stomach Carcinoma
rs1801253	Acute Coronary Syndrome
rs1801253	Acute myocardial infarction
rs1801253	Cardiomyopathy, Dilated
rs1801253	Cardiovascular Diseases
rs1801253	Chronic heart failure
rs1801253	Congestive heart failure
rs1801253	Coronary Artery Disease
rs1801253	Diabetes Mellitus, Non-Insulin-Dependent
rs1801253	Essential Hypertension
rs1801253	Heart failure
rs1801253	Hypertensive disease
rs1801253	Low Tension Glaucoma
rs1801253	Metabolic Syndrome X
rs1801253	Mood Disorders
rs1801253	Myocardial Infarction
rs1801253	Obesity
rs1801253	Social fear
rs1801253	Vasovagal syncope
rs1801260	Bipolar Disorder
rs1801260	Metabolic Syndrome X
rs1801260	Overweight
rs1801260	Sleep Disorders
rs1801260	Sleep disturbances
rs1801260	Sleeplessness
rs1801265	Dihydropyrimidine Dehydrogenase Deficiency
rs1801265	Malignant neoplasm of ovary
rs1801270	Carcinoma of lung
rs1801270	Cervix carcinoma
rs1801270	Colorectal Cancer
rs1801270	Colorectal Carcinoma
rs1801270	Endometrial Carcinoma
rs1801270	Leukemia, Myelocytic, Acute
rs1801270	Lymphoma
rs1801270	Malignant neoplasm of endometrium
rs1801270	Malignant neoplasm of lung
rs1801270	Malignant tumor of cervix
rs1801270	Renal Cell Carcinoma
rs1801270	Squamous cell carcinoma
rs1801270	Squamous cell carcinoma of lung
rs1801270	Uterine Corpus Cancer
rs1801272	Malignant neoplasm of pancreas
rs1801272	Nicotine Dependence
rs1801272	Pancreatic carcinoma
rs1801274	Asthma
rs1801274	Autoimmune Diseases
rs1801274	Celiac Disease
rs1801274	Clinical infection
rs1801274	Diabetes Mellitus, Insulin-Dependent
rs1801274	Heparin-induced thrombocytopenia
rs1801274	Immune thrombocytopenic purpura
rs1801274	Inflammatory Bowel Diseases
rs1801274	Lupus Erythematosus, Systemic
rs1801274	Lymphoma, Non-Hodgkin
rs1801274	Malignant neoplasm of stomach
rs1801274	Mucocutaneous Lymph Node Syndrome
rs1801274	Periodontitis
rs1801274	Pneumonia
rs1801274	Rheumatoid Arthritis
rs1801274	Severe Dengue
rs1801274	Stomach Carcinoma
rs1801274	Ulcerative Colitis
rs1801275	Allergic disposition
rs1801275	Asthma
rs1801275	Breast Carcinoma
rs1801275	Cardiovascular Diseases
rs1801275	Glioblastoma
rs1801275	Glioma
rs1801275	Hypercholesterolemia, Familial
rs1801275	Inflammatory Bowel Diseases
rs1801275	Kidney Failure
rs1801275	Kidney Failure, Chronic
rs1801275	Malignant neoplasm of breast
rs1801275	Rheumatoid Nodule
rs1801275	Ulcerative Colitis
rs1801275	Wheezing
rs1801278	21-hydroxylase deficiency
rs1801278	Breast Carcinoma
rs1801278	Carcinogenesis
rs1801278	Cardiovascular Diseases
rs1801278	Colorectal Cancer
rs1801278	Colorectal Carcinoma
rs1801278	Congenital adrenal hyperplasia due to 21 hydroxylase deficiency
rs1801278	Diabetes
rs1801278	Diabetes Mellitus
rs1801278	Diabetes Mellitus, Insulin-Dependent
rs1801278	Diabetes Mellitus, Non-Insulin-Dependent
rs1801278	Epilepsy, Temporal Lobe
rs1801278	Essential Hypertension
rs1801278	Gestational Diabetes
rs1801278	Hypertensive disease
rs1801278	Malignant neoplasm of breast
rs1801278	Malignant neoplasm of prostate
rs1801278	Metabolic Syndrome X
rs1801278	Obesity
rs1801278	Ovarian Diseases
rs1801278	Polycystic Ovary Syndrome
rs1801278	Precocious pubarche
rs1801278	Prediabetes syndrome
rs1801278	Prostate carcinoma
rs1801278	Rectal Carcinoma
rs1801282	Acne
rs1801282	Acne Vulgaris
rs1801282	Acute Coronary Syndrome
rs1801282	Acute myocardial infarction
rs1801282	Adenoma of large intestine
rs1801282	Alzheimer's Disease
rs1801282	Arteriosclerosis
rs1801282	Arthritis, Psoriatic
rs1801282	Atherosclerosis
rs1801282	Breast Carcinoma
rs1801282	Carcinogenesis
rs1801282	Carcinoma of bladder
rs1801282	Cardiovascular Diseases
rs1801282	Carotid Atherosclerosis
rs1801282	Colon Carcinoma
rs1801282	Colorectal Cancer
rs1801282	Colorectal Carcinoma
rs1801282	Coronary Arteriosclerosis
rs1801282	Coronary Artery Disease
rs1801282	Coronary heart disease
rs1801282	Crohn Disease
rs1801282	Dementia
rs1801282	Diabetes
rs1801282	Diabetes Mellitus
rs1801282	Diabetes Mellitus, Insulin-Dependent
rs1801282	Diabetes Mellitus, Non-Insulin-Dependent
rs1801282	Diabetic Nephropathy
rs1801282	Diabetic Retinopathy
rs1801282	Dyslipidemias
rs1801282	Endometrial Carcinoma
rs1801282	Endometriosis
rs1801282	Fibrosis, Liver
rs1801282	Gastric Adenocarcinoma
rs1801282	Gestational Diabetes
rs1801282	Graves Disease
rs1801282	Helicobacter pylori infection
rs1801282	HIV Infections
rs1801282	Hypercholesterolemia
rs1801282	Hyperglycemia
rs1801282	Hyperinsulinism
rs1801282	Hyperlipidemia
rs1801282	Hypertensive disease
rs1801282	Impaired cognition
rs1801282	Impaired glucose tolerance
rs1801282	Inflammatory Bowel Diseases
rs1801282	Insulin resistance syndrome
rs1801282	Ischemic Cerebrovascular Accident
rs1801282	Ischemic stroke
rs1801282	Kidney Diseases
rs1801282	Lipid Metabolism Disorders
rs1801282	Lipodystrophy
rs1801282	Malignant neoplasm of breast
rs1801282	Malignant neoplasm of pancreas
rs1801282	Malignant neoplasm of prostate
rs1801282	Malignant neoplasm of stomach
rs1801282	Malignant neoplasm of urinary bladder
rs1801282	Malignant tumor of colon
rs1801282	Metabolic Diseases
rs1801282	metabolic disturbance
rs1801282	Metabolic Syndrome X
rs1801282	Multiple Sclerosis
rs1801282	Myocardial Infarction
rs1801282	Non-alcoholic Fatty Liver Disease
rs1801282	Obesity
rs1801282	Obesity, Morbid
rs1801282	Osteoarthritis, Knee
rs1801282	Ovarian Diseases
rs1801282	Overweight
rs1801282	Pancreatic carcinoma
rs1801282	Pediatric Obesity
rs1801282	Peptic Ulcer
rs1801282	Polycystic Ovary Syndrome
rs1801282	Prediabetes syndrome
rs1801282	Premature Menopause
rs1801282	Presenile dementia
rs1801282	Proliferative diabetic retinopathy
rs1801282	Prostate carcinoma
rs1801282	Pyruvate Dehydrogenase E3-Binding Protein Deficiency
rs1801282	Rectal Carcinoma
rs1801282	Renal Cell Carcinoma
rs1801282	Retinal Diseases
rs1801282	Rheumatoid Arthritis
rs1801282	Sarcoidosis
rs1801282	Stomach Carcinoma
rs1801282	Ulcerative Colitis
rs1801320	Breast Carcinoma
rs1801320	Malignant neoplasm of breast
rs1801320	Non-Small Cell Lung Carcinoma
rs1801368	Malignant neoplasm of ovary
rs1801368	Ovarian Carcinoma
rs1801394	Acute lymphocytic leukemia
rs1801394	Adult Acute Lymphocytic Leukemia
rs1801394	Autistic Disorder
rs1801394	Azoospermia
rs1801394	Brain Tumor, Primary
rs1801394	Breast Carcinoma
rs1801394	Carcinogenesis
rs1801394	Carcinoma of lung
rs1801394	Cervix carcinoma
rs1801394	Colon Carcinoma
rs1801394	Colorectal Cancer
rs1801394	Colorectal Carcinoma
rs1801394	Congenital Heart Defects
rs1801394	Coronary Arteriosclerosis
rs1801394	Coronary Artery Disease
rs1801394	Coronary heart disease
rs1801394	Deep Vein Thrombosis
rs1801394	Deep vein thrombosis of lower limb
rs1801394	Depressive disorder
rs1801394	Down Syndrome
rs1801394	Exanthema
rs1801394	Giant Cell Arteritis
rs1801394	leukemia
rs1801394	Liver and Intrahepatic Biliary Tract Carcinoma
rs1801394	Male infertility
rs1801394	Malignant neoplasm of breast
rs1801394	Malignant neoplasm of liver
rs1801394	Malignant neoplasm of lung
rs1801394	Malignant neoplasm of ovary
rs1801394	Malignant neoplasm of pancreas
rs1801394	Malignant neoplasm of prostate
rs1801394	Malignant neoplasm of stomach
rs1801394	Malignant tumor of cervix
rs1801394	Malignant tumor of colon
rs1801394	Mental Depression
rs1801394	Metabolic Syndrome X
rs1801394	Migraine Disorders
rs1801394	Obesity
rs1801394	Ovarian Carcinoma
rs1801394	Pancreatic carcinoma
rs1801394	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs1801394	Pregnancy Complications
rs1801394	Prostate carcinoma
rs1801394	Schizophrenia
rs1801394	Sensorineural Hearing Loss (disorder)
rs1801394	Spina Bifida
rs1801394	Spots on skin
rs1801394	Squamous cell carcinoma of esophagus
rs1801394	Squamous cell carcinoma of the head and neck
rs1801394	Stomach Carcinoma
rs1801394	Ulcerative Colitis
rs1801394	Vascular Diseases
rs1801516	Astrocytoma
rs1801516	bilateral breast cancer
rs1801516	Brain Neoplasms
rs1801516	Brain Tumor, Primary
rs1801516	Breast Carcinoma
rs1801516	Carcinoma of bladder
rs1801516	Cervix carcinoma
rs1801516	Diabetes
rs1801516	Diabetes Mellitus
rs1801516	Malignant neoplasm of breast
rs1801516	Malignant neoplasm of pancreas
rs1801516	Malignant neoplasm of urinary bladder
rs1801516	Malignant tumor of cervix
rs1801516	melanoma
rs1801516	Pancreatic carcinoma
rs1801516	Papillary thyroid carcinoma
rs1801516	Paroxysmal atrial tachycardia
rs1801708	Ischemic Cerebrovascular Accident
rs1801708	Ischemic stroke
rs1801726	Rectal Carcinoma
rs1801876	Ankylosing spondylitis
rs1801968	Dystonia, Primary
rs1802295	Diabetes Mellitus, Non-Insulin-Dependent
rs1803245	Malignant neoplasm of stomach
rs1803245	Stomach Carcinoma
rs1805007	Basal cell carcinoma
rs1805007	Erythema
rs1805007	Experimental Organism Basal Cell Carcinoma
rs1805007	Freckles
rs1805007	Malignant neoplasm of skin
rs1805007	melanoma
rs1805007	Pheochromocytoma
rs1805007	Skin carcinoma
rs1805007	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 2 (disorder)
rs1805007	Sunburn
rs1805008	Erythema
rs1805008	Malignant neoplasm of skin
rs1805008	melanoma
rs1805008	Pallor
rs1805008	Parkinson Disease
rs1805008	Pheochromocytoma
rs1805008	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 2 (disorder)
